Mean,Std,Max,Min,RMS,Energy,PeakToPeak,ZeroCrossRate,Label
20.81,0.49,21.22,20.22,20.82,86700.95,1.00,0.00,BENDING
21.11,0.31,21.22,20.22,21.12,89187.36,1.00,0.00,BENDING
20.53,0.46,21.22,20.22,20.54,84380.11,1.00,0.00,BENDING
20.47,0.44,21.22,20.22,20.48,83882.80,1.00,0.00,BENDING
20.22,0.10,21.22,19.22,20.22,81771.37,2.00,0.00,BENDING
20.20,0.12,20.22,19.22,20.21,81651.05,1.00,0.00,BENDING
20.11,0.31,20.22,19.22,20.11,80901.73,1.00,0.00,BENDING
19.66,0.51,21.22,19.22,19.67,77393.55,2.00,0.00,STRAIGHT
19.22,0.07,20.22,19.22,19.23,73920.82,1.00,0.00,STRAIGHT
18.95,0.68,19.22,17.22,18.96,71913.69,2.00,0.00,STRAIGHT
17.33,0.46,19.22,17.22,17.34,60107.15,2.00,0.00,STRAIGHT
17.21,0.07,17.22,16.22,17.22,59272.03,1.00,0.00,STRAIGHT
17.18,0.18,17.22,16.22,17.19,59071.38,1.00,0.00,STRAIGHT
25.53,8.29,36.22,16.22,26.84,144106.69,20.00,0.00,BENDING
34.52,0.52,35.22,33.22,34.53,238448.56,2.00,0.00,BENDING
34.81,0.53,36.22,33.22,34.81,242403.80,3.00,0.00,BENDING
35.66,0.50,36.22,35.22,35.67,254447.84,1.00,0.00,BENDING
35.55,0.47,36.22,35.22,35.56,252876.20,1.00,0.00,BENDING
35.10,1.18,37.22,32.22,35.12,246748.45,5.00,0.00,BENDING
34.57,2.82,39.22,29.22,34.69,240671.86,10.00,0.00,BENDING
28.65,0.60,31.22,28.22,28.66,164237.08,3.00,0.00,BENDING
28.99,0.55,31.22,28.22,29.00,168143.22,3.00,0.00,BENDING
29.23,0.22,31.22,28.22,29.23,170888.41,3.00,0.00,BENDING
30.34,1.57,34.22,29.22,30.39,184653.17,5.00,0.00,BENDING
34.08,2.54,38.22,31.22,34.17,233577.19,7.00,0.00,BENDING
35.93,2.09,40.22,32.22,35.99,259065.63,8.00,0.00,BENDING
38.92,2.32,44.22,35.22,38.99,304108.44,9.00,0.00,BENDING
41.14,1.27,43.22,39.22,41.16,338822.56,4.00,0.00,BENDING
43.89,1.26,46.22,41.22,43.91,385582.09,5.00,0.00,BENDING
42.62,1.39,44.22,40.22,42.64,363677.22,4.00,0.00,BENDING
40.91,0.74,43.22,39.22,40.92,334836.47,4.00,0.00,BENDING
45.72,2.64,51.22,40.22,45.80,419544.59,11.00,0.00,BENDING
36.86,2.69,40.22,29.22,36.96,273173.44,11.00,0.00,BENDING
35.56,0.68,37.22,34.22,35.57,252995.53,3.00,0.00,BENDING
33.19,0.93,34.22,32.22,33.20,220488.52,2.00,0.00,BENDING
31.58,0.48,32.22,31.22,31.59,199568.48,1.00,0.00,BENDING
30.15,1.00,31.22,29.22,30.17,182003.50,2.00,0.00,BENDING
28.97,0.43,29.22,28.22,28.98,167946.55,1.00,0.00,BENDING
28.25,0.21,29.22,27.22,28.26,159677.23,2.00,0.00,BENDING
28.18,0.21,28.22,26.22,28.19,158887.09,2.00,0.00,BENDING
28.57,0.49,29.22,27.22,28.58,163353.38,2.00,0.00,BENDING
28.22,0.16,29.22,27.22,28.23,159334.59,2.00,0.00,BENDING
27.27,0.24,28.22,26.22,27.27,148741.88,2.00,0.00,BENDING
27.48,0.44,28.22,27.22,27.49,151123.67,1.00,0.00,BENDING
27.20,0.12,27.22,26.22,27.21,148025.16,1.00,0.00,BENDING
26.76,0.50,27.22,26.22,26.76,143268.77,1.00,0.00,BENDING
25.80,0.49,26.22,25.22,25.80,133176.38,1.00,0.00,BENDING
25.26,0.21,26.22,25.22,25.27,127672.34,1.00,0.00,BENDING
25.22,0.00,25.22,25.22,25.22,127209.38,0.00,0.00,BENDING
25.19,0.16,25.22,24.22,25.20,126962.19,1.00,0.00,BENDING
24.98,0.42,25.22,24.22,24.99,124885.75,1.00,0.00,BENDING
24.43,0.41,25.22,24.22,24.43,119398.03,1.00,0.00,BENDING
24.26,0.21,25.22,24.22,24.27,117766.50,1.00,0.00,BENDING
24.30,0.27,25.22,24.22,24.30,118112.55,1.00,0.00,BENDING
24.28,0.25,25.22,24.22,24.29,117964.26,1.00,0.00,BENDING
24.22,0.00,24.22,24.22,24.22,117321.54,0.00,0.00,BENDING
24.18,0.20,24.22,23.22,24.18,116941.98,1.00,0.00,BENDING
23.71,0.54,24.22,22.22,23.72,112538.00,2.00,0.00,BENDING
23.20,0.69,24.22,22.22,23.21,107743.70,2.00,0.00,BENDING
24.02,0.40,24.22,23.22,24.03,115471.31,1.00,0.00,BENDING
23.73,0.52,24.22,22.22,23.74,112723.62,2.00,0.00,BENDING
23.42,0.68,24.22,22.22,23.43,109838.36,2.00,0.00,BENDING
23.33,0.87,24.22,22.22,23.35,109009.09,2.00,0.00,BENDING
24.07,0.70,25.22,22.22,24.09,116017.75,3.00,0.00,BENDING
22.63,0.58,24.22,22.22,22.64,102534.91,2.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.15,0.25,22.22,21.22,22.16,98180.65,1.00,0.00,BENDING
21.84,0.49,22.22,21.22,21.85,95444.07,1.00,0.00,BENDING
21.87,0.48,22.22,21.22,21.88,95748.11,1.00,0.00,BENDING
21.31,0.29,22.22,21.22,21.32,90883.01,1.00,0.00,BENDING
21.22,0.07,22.22,21.22,21.23,90101.11,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.21,0.07,21.22,20.22,21.22,90016.23,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.10,22.22,20.22,21.22,90059.66,2.00,0.00,BENDING
21.21,0.07,21.22,20.22,21.22,90016.23,1.00,0.00,BENDING
21.08,0.34,21.22,20.22,21.09,88938.70,1.00,0.00,BENDING
20.94,0.45,21.22,20.22,20.95,87778.34,1.00,0.00,BENDING
20.84,0.49,21.22,20.22,20.85,86908.15,1.00,0.00,BENDING
21.06,0.37,21.22,20.22,21.06,88731.51,1.00,0.00,BENDING
21.14,0.26,21.22,20.22,21.15,89436.06,1.00,0.00,BENDING
21.09,0.34,21.22,20.22,21.09,88980.15,1.00,0.00,BENDING
20.84,0.49,21.22,20.22,20.85,86908.09,1.00,0.00,BENDING
20.55,0.47,21.22,20.22,20.56,84545.84,1.00,0.00,BENDING
20.36,0.35,21.22,20.22,20.37,82971.12,1.00,0.00,BENDING
20.24,0.17,21.22,19.22,20.24,81937.13,2.00,0.00,BENDING
20.40,0.40,21.22,19.22,20.40,83263.27,2.00,0.00,BENDING
21.61,0.78,22.22,20.22,21.62,93519.76,2.00,0.00,BENDING
21.23,0.10,22.22,21.22,21.23,90144.55,1.00,0.00,BENDING
21.31,0.29,22.22,21.22,21.31,90839.56,1.00,0.00,BENDING
27.58,3.61,34.22,21.22,27.82,154735.08,13.00,0.00,BENDING
27.55,0.91,29.22,26.22,27.57,152019.97,3.00,0.00,BENDING
25.31,0.30,26.22,24.22,25.31,128137.30,2.00,0.00,BENDING
24.44,0.42,25.22,24.22,24.45,119546.34,1.00,0.00,BENDING
23.99,0.45,24.22,22.22,24.00,115192.55,2.00,0.00,BENDING
22.74,0.62,24.22,22.22,22.75,103544.58,2.00,0.00,BENDING
22.22,0.07,23.22,22.22,22.23,98790.78,1.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.21,0.07,22.22,21.22,22.22,98701.90,1.00,0.00,BENDING
22.13,0.29,22.22,21.22,22.13,97963.47,1.00,0.00,BENDING
21.44,0.42,22.22,21.22,21.45,92012.44,1.00,0.00,BENDING
21.29,0.26,22.22,21.22,21.29,90665.82,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.21,0.07,21.22,20.22,21.22,90016.23,1.00,0.00,BENDING
21.21,0.07,21.22,20.22,21.22,90016.23,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.21,0.07,21.22,20.22,21.22,90016.23,1.00,0.00,BENDING
21.14,0.27,21.22,20.22,21.14,89394.59,1.00,0.00,BENDING
20.65,0.50,21.22,20.22,20.66,85374.71,1.00,0.00,BENDING
20.44,0.41,21.22,20.22,20.44,83592.76,1.00,0.00,BENDING
20.49,0.45,21.22,20.22,20.50,84048.67,1.00,0.00,BENDING
20.83,0.49,21.22,20.22,20.84,86825.22,1.00,0.00,BENDING
20.69,0.50,21.22,20.22,20.70,85706.33,1.00,0.00,BENDING
20.77,0.50,21.22,20.22,20.78,86327.96,1.00,0.00,BENDING
20.61,0.49,21.22,20.22,20.62,85043.15,1.00,0.00,BENDING
20.42,0.40,21.22,20.22,20.43,83468.46,1.00,0.00,BENDING
20.99,0.42,21.22,20.22,21.00,88192.80,1.00,0.00,BENDING
21.20,0.12,21.22,20.22,21.21,89933.35,1.00,0.00,BENDING
21.20,0.12,21.22,20.22,21.21,89933.34,1.00,0.00,BENDING
20.81,0.49,21.22,20.22,20.82,86659.34,1.00,0.00,BENDING
20.55,0.47,21.22,20.22,20.56,84504.50,1.00,0.00,BENDING
20.61,0.49,21.22,20.22,20.62,85043.30,1.00,0.00,BENDING
20.75,0.50,21.22,20.22,20.76,86203.52,1.00,0.00,BENDING
20.41,0.39,21.22,20.22,20.41,83344.07,1.00,0.00,BENDING
20.45,0.42,21.22,20.22,20.46,83717.01,1.00,0.00,BENDING
20.99,0.49,22.22,20.22,21.00,88206.86,2.00,0.00,BENDING
20.52,0.48,22.22,20.22,20.53,84301.17,2.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.21,0.10,20.22,19.22,20.21,81690.48,1.00,0.00,BENDING
20.21,0.10,20.22,19.22,20.21,81690.48,1.00,0.00,BENDING
20.21,0.10,20.22,19.22,20.21,81690.48,1.00,0.00,BENDING
20.21,0.10,20.22,19.22,20.21,81690.48,1.00,0.00,BENDING
20.16,0.23,20.22,19.22,20.17,81335.54,1.00,0.00,BENDING
20.14,0.26,20.22,19.22,20.15,81177.76,1.00,0.00,BENDING
20.16,0.23,20.22,19.22,20.17,81335.53,1.00,0.00,BENDING
20.11,0.31,20.22,19.22,20.12,80941.13,1.00,0.00,BENDING
19.91,0.46,20.22,19.22,19.92,79324.09,1.00,0.00,STRAIGHT
19.77,0.50,20.22,19.22,19.78,78219.77,1.00,0.00,STRAIGHT
20.03,0.39,20.22,19.22,20.03,80270.66,1.00,0.00,STRAIGHT
20.01,0.41,20.22,19.22,20.01,80112.89,1.00,0.00,STRAIGHT
19.75,0.50,20.22,19.22,19.76,78062.02,1.00,0.00,STRAIGHT
19.46,0.43,20.22,19.22,19.46,75774.51,1.00,0.00,STRAIGHT
19.74,0.50,20.22,19.22,19.75,78022.58,1.00,0.00,STRAIGHT
19.53,0.46,20.22,19.22,19.54,76366.10,1.00,0.00,STRAIGHT
19.55,0.47,20.22,19.22,19.56,76523.87,1.00,0.00,STRAIGHT
19.27,0.23,20.22,19.22,19.28,74315.22,1.00,0.00,STRAIGHT
19.27,0.23,20.22,19.22,19.28,74315.22,1.00,0.00,STRAIGHT
19.53,0.46,20.22,19.22,19.54,76326.68,1.00,0.00,STRAIGHT
19.41,0.39,20.22,19.22,19.41,75380.12,1.00,0.00,STRAIGHT
19.63,0.49,20.22,19.22,19.64,77154.91,1.00,0.00,STRAIGHT
19.64,0.49,20.22,19.22,19.65,77233.77,1.00,0.00,STRAIGHT
19.39,0.38,20.22,19.22,19.39,75222.38,1.00,0.00,STRAIGHT
19.24,0.16,20.22,19.22,19.25,74078.59,1.00,0.00,STRAIGHT
19.27,0.22,20.22,19.22,19.27,74275.78,1.00,0.00,STRAIGHT
19.25,0.17,20.22,19.22,19.25,74118.02,1.00,0.00,STRAIGHT
19.22,0.07,20.22,19.22,19.23,73920.82,1.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.22,0.00,19.22,19.22,19.22,73881.38,0.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.21,0.14,19.22,17.22,19.21,73808.50,2.00,0.00,STRAIGHT
19.19,0.24,19.22,17.22,19.19,73662.74,2.00,0.00,STRAIGHT
19.18,0.28,19.22,17.22,19.18,73589.87,2.00,0.00,STRAIGHT
24.88,8.65,44.22,17.22,26.34,138773.50,27.00,0.00,BENDING
37.44,1.74,41.22,34.22,37.49,281030.31,7.00,0.00,BENDING
35.26,0.34,36.22,34.22,35.27,248746.72,2.00,0.00,BENDING
34.46,0.55,35.22,33.22,34.46,237557.86,2.00,0.00,BENDING
32.49,0.99,34.22,31.22,32.51,211380.38,3.00,0.00,BENDING
29.91,0.95,31.22,29.22,29.93,179102.36,2.00,0.00,BENDING
28.82,0.49,29.22,28.22,28.82,166165.83,1.00,0.00,BENDING
28.20,0.20,29.22,27.22,28.20,159055.42,2.00,0.00,BENDING
29.00,0.75,31.22,28.22,29.01,168369.64,3.00,0.00,BENDING
30.09,0.99,31.22,29.22,30.11,181277.98,2.00,0.00,BENDING
29.39,0.65,31.22,28.22,29.40,172897.91,3.00,0.00,BENDING
29.21,0.20,31.22,28.22,29.21,170652.63,3.00,0.00,BENDING
32.32,1.80,35.22,28.22,32.37,209563.84,7.00,0.00,BENDING
37.06,0.76,38.22,34.22,37.07,274878.81,4.00,0.00,BENDING
37.35,0.34,38.22,37.22,37.36,279102.47,1.00,0.00,BENDING
36.72,1.01,38.22,34.22,36.73,269877.72,4.00,0.00,BENDING
35.12,1.83,40.22,31.22,35.17,247423.91,9.00,0.00,BENDING
32.95,1.15,35.22,31.22,32.97,217405.19,4.00,0.00,BENDING
32.30,2.54,37.22,28.22,32.40,209944.42,9.00,0.00,BENDING
31.88,0.76,34.22,29.22,31.89,203444.81,5.00,0.00,BENDING
31.07,1.16,34.22,29.22,31.10,193399.83,5.00,0.00,BENDING
38.31,7.74,49.22,28.22,39.08,305501.03,21.00,0.00,BENDING
44.54,1.16,46.22,40.22,44.55,397029.38,6.00,0.00,BENDING
40.54,0.56,43.22,39.22,40.54,328761.41,4.00,0.00,BENDING
40.22,0.21,41.22,39.22,40.23,323618.69,2.00,0.00,BENDING
37.02,2.48,40.22,33.22,37.11,275395.19,7.00,0.00,BENDING
31.27,1.02,33.22,29.22,31.29,195769.94,4.00,0.00,BENDING
29.55,1.49,35.22,27.22,29.59,175143.67,8.00,0.00,BENDING
26.90,0.68,28.22,25.22,26.91,144868.56,3.00,0.00,BENDING
25.30,0.27,26.22,25.22,25.30,128032.42,1.00,0.00,BENDING
24.68,0.50,25.22,24.22,24.69,121919.50,1.00,0.00,BENDING
24.19,0.16,24.22,23.22,24.20,117084.31,1.00,0.00,BENDING
23.39,0.71,24.22,22.22,23.41,109565.64,2.00,0.00,BENDING
22.29,0.26,23.22,22.22,22.29,99381.50,1.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.22,0.00,22.22,22.22,22.22,98745.34,0.00,0.00,BENDING
22.14,0.26,22.22,21.22,22.15,98093.78,1.00,0.00,BENDING
21.54,0.47,22.22,21.22,21.55,92837.76,1.00,0.00,BENDING
21.28,0.25,22.22,21.22,21.29,90622.37,1.00,0.00,BENDING
21.43,0.41,22.22,21.22,21.44,91925.52,1.00,0.00,BENDING
21.27,0.22,22.22,21.22,21.27,90492.07,1.00,0.00,BENDING
21.22,0.00,21.22,21.22,21.22,90057.67,0.00,0.00,BENDING
21.22,0.07,22.22,21.22,21.23,90101.11,1.00,0.00,BENDING
21.61,0.50,23.22,21.22,21.62,93447.80,2.00,0.00,BENDING
23.59,1.10,26.22,22.22,23.62,111539.88,4.00,0.00,BENDING
22.09,0.34,22.22,21.22,22.09,97615.97,1.00,0.00,BENDING
21.23,0.10,22.22,21.22,21.23,90144.55,1.00,0.00,BENDING
21.07,0.36,21.22,20.22,21.07,88814.34,1.00,0.00,BENDING
20.28,0.25,21.22,20.22,20.29,82308.08,1.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.22,0.00,20.22,20.22,20.22,81769.37,0.00,0.00,BENDING
20.18,0.20,20.22,19.22,20.18,81453.84,1.00,0.00,BENDING
20.14,0.26,20.22,19.22,20.15,81177.77,1.00,0.00,BENDING
20.08,0.35,20.22,19.22,20.08,80665.05,1.00,0.00,BENDING
19.88,0.47,20.22,19.22,19.89,79126.89,1.00,0.00,STRAIGHT
19.60,0.49,20.22,19.22,19.61,76878.79,1.00,0.00,STRAIGHT
19.54,0.47,20.22,19.22,19.55,76444.99,1.00,0.00,STRAIGHT
19.24,0.16,20.22,19.22,19.25,74078.58,1.00,0.00,STRAIGHT
